sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,anomalies
ODP0180-1118A-074R-002_051-069,4.440267525134958,12.2696780613335,1.9448036067484915,10.004285780559737,3.202684414822111,1.2034220109865765,4.130229045952811,0.7372697767617999,4.825201771667284,1.0372332296866489,2.975417967802933,0.46101306805325565,2.943624306006701,0.4331451798774401,[]
ODP0180-1118A-076R-002_045-053,4.329656251936367,11.678968963007158,1.834353072661278,9.453601583171826,3.0806863974279173,1.167927957661713,4.036759335595559,0.723041564077209,4.7224737129155585,1.0068088944477311,2.8474828956671376,0.43274798757173255,2.699443842783499,0.3870384477492561,[]
ODP0183-1136A-016R-002-02A,7.429683536149984,17.655038048923267,2.5321482456631283,12.252766668004803,3.730283328012026,1.3840612654158815,4.680042260726184,0.8168130611969372,5.159034153305167,1.0558877433798177,2.8456520824140754,0.4094354534630543,2.4064337709266117,0.324259979525856,[]
ODP0183-1136A-018R-003-02,8.84257746490231,21.178540792533134,3.020440586422597,14.399165401436658,4.228533635967894,1.5460759328341258,5.1686689785396,0.8965009261985781,5.667102430327418,1.1699754271022103,3.2037021958021263,0.47123853984108777,2.844877486684701,0.39495272949806715,[]
ODP0183-1136A-018R-006-06,8.454034024551015,20.35759191904824,2.908838105980637,13.856962926298936,4.049249477464202,1.4767271534833513,4.925729135913466,0.8530540045804963,5.390218506122694,1.1138759878969846,3.0570528783984576,0.4512221677206157,2.7360050712156165,0.381751106246667,[]
ODP0183-1136A-019R-002-09,10.939026539098842,30.87600514357551,4.882737058363813,24.53170518486966,7.201114443302188,2.5664484883330005,8.289335183286436,1.3830569575982297,8.411422927788854,1.6824971142545362,4.504869020500226,0.654330541751829,3.9374559887656555,0.5492835981845805,[]
ODP0183-1138A-074R-001-04,46.92075093794764,101.82513148134841,12.867756611856425,53.55102927210434,12.205919423952853,4.010889853558627,12.130657930354065,1.9224726258827096,11.251848652883032,2.1954100788040534,5.792444721191277,0.8352513728476985,5.015805436978553,0.7006981753316385,['Eu']
ODP0183-1138A-080R-001-13,11.00298435306687,26.105642732262705,3.624054331562484,16.635574063859362,4.5428414320393955,1.618008063296901,5.308769002777758,0.9132420245516648,5.803268269014234,1.22155577536155,3.454171349870347,0.5302447627820362,3.3671673078278803,0.49411715584381377,[]
ODP0183-1138A-080R-002-01,11.988524932603971,29.410009322738883,4.1340683191854035,18.881965191559885,4.9490964093165815,1.7163778207805924,5.466236615848844,0.9112480551465858,5.610976827071259,1.148644941721684,3.172816337142518,0.4780123699404459,2.992708786242027,0.43477098596865316,[]
ODP0183-1138A-080R-005-01D,11.188341793142374,26.99832324445473,3.780758843678352,17.37958183658127,4.6873247287880915,1.652410569235024,5.353617066423358,0.9076347294093898,5.6755026551828855,1.1758553225960013,3.275096746011638,0.495775191601517,3.1087821422071977,0.45114629694546077,[]
ODP0183-1138A-081R-002-12,11.323690841279673,27.032463503421837,3.7638761451102054,17.27163325532609,4.674282045856256,1.6526065554406217,5.370836761480895,0.9131220761707252,5.721679692614421,1.186439120339908,3.303163138894781,0.49920448763935693,3.1219221806327044,0.45148770415585343,[]
ODP0183-1138A-081R-004-10,11.311558955143623,27.092927677482198,3.7870268973507724,17.4571652834388,4.771149133659547,1.695379583773118,5.54054076533582,0.9477361199965477,5.978311291750357,1.24797196849309,3.497477394804873,0.5319655568384718,3.3471612458831665,0.48682883525625137,[]
ODP0183-1138A-082R-001-01,12.94276540207159,32.17800223534371,4.573501388076587,21.080336227070134,5.594032756136403,1.9483389941912737,6.228745606013113,1.042037077374728,6.438120912727705,1.3221191509110943,3.662929674007208,0.5534499483360992,3.4747232033468,0.5061565255893433,[]
ODP0183-1138A-082R-005-02,13.467475488587658,31.563514462856265,4.31084001758408,19.41236239704302,5.10766544685617,1.7901557757713498,5.784393087515682,0.9812350628681542,6.160035494884551,1.2848813074804166,3.610684950689677,0.5522739461624194,3.50224980590571,0.514156502298132,[]
ODP0183-1138A-083R-006-03,13.917522350061317,33.68986044237301,4.704237730908413,21.46713413081011,5.681869952468912,1.9857222008476099,6.3825124126206605,1.0750276453539154,6.692804142790438,1.3845053001918137,3.8609607602410994,0.5866060833536866,3.6991920431816636,0.5406503770275949,[]
ODP0183-1138A-083R-006-05B,13.87764685829999,33.73687232800329,4.735407334369142,21.737215495257868,5.818762940761354,2.0436786627496346,6.600630736263769,1.1168840806595863,6.982910490928842,1.4495754404000663,4.053650058211576,0.6171793869762661,3.897870341443516,0.5702603578608094,[]
ODP0183-1138A-084R-001-01E,14.451237989203385,35.59682148428671,5.004035344854717,22.80516555152361,5.953496559393467,2.065176213334255,6.593836120046581,1.1054578552585366,6.8721579487705355,1.425180182474577,3.9998481235079093,0.6137057248531739,3.919058216013914,0.5811394263217509,[]
ODP0183-1138A-084R-005-09,15.135129894860373,36.07980029038494,4.95983184253738,22.303827509618483,5.78795101539227,2.0133307399066624,6.461215088227047,1.09062035123014,6.833477473960988,1.4280535795812936,4.035725812681403,0.6228538313397869,3.9961782562666484,0.5946673247008246,['Eu']
ODP0183-1138A-085R-001-16,17.13276336881431,41.48493663813911,5.778663304396442,26.26839020904233,6.908047947094094,2.4113868747672376,7.755329246384627,1.3101214727102328,8.204534833189813,1.7117469687383333,4.825402394723458,0.7424416298564326,4.747171148366063,0.7039122520721519,['Eu']
ODP0183-1138A-085R-002-07B,16.65115107336565,38.90009344963584,5.307738086267366,23.90719479477129,6.291167685014295,2.2022117844318525,7.096616387810396,1.1982691054924313,7.4698426901354305,1.5440927269408065,4.292800460125141,0.6487489922712076,4.061395206217726,0.5884210134288329,[]
ODP0183-1138A-086R-001-02C,22.740462793378587,51.49055924327441,6.84817247269591,30.229391439341644,7.771903534036061,2.7056209320483076,8.693567502626841,1.4672826998253392,9.16440600418039,1.9014963435507821,5.3130603382521695,0.8076213337380843,5.087477569190782,0.7417075442233212,[]
ODP0183-1138A-086R-003-06,18.907375289730716,44.419071428192744,6.080943789052049,27.435855685677737,7.226126510648597,2.530203938903765,8.158673614189228,1.37932605158772,8.617154205392085,1.7866959453900324,4.986582970782833,0.7570528152566808,4.763560628631961,0.6938626015915799,[]
