sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,anomalies
KAIYO88-003-001,8.760938305437056,22.16229059651977,3.2299709519232453,15.350227025749962,4.327953893311341,1.547617737593377,5.072720698720297,0.8680225925875868,5.466980149260071,1.1383638777232474,3.1816023869051886,0.48273229821074337,3.0315559551017,0.4403632997113016,[]
KAIYO88-003-009,7.495952645960949,18.49545038107113,2.692876934822294,13.000537568580382,3.839748614215841,1.3998516198039244,4.654125417737012,0.8011002089858003,5.016964503215619,1.0257317991247494,2.782093230243656,0.4055851797478047,2.4288266393413154,0.3348117119925761,['Lu']
KAIYO88-004-001,1.022643978426385,3.6832436355572016,0.7313317219691409,4.54734411373175,1.8873426208400608,0.7739165370434506,2.862175408661404,0.5445972770924042,3.7648446773805553,0.8457268549232695,2.515231876980226,0.40166528638545745,2.631621995000566,0.3959541817506236,[]
KAIYO88-005-001,6.197233101286193,15.579359135177125,2.2826614439696544,11.01053263544396,3.2417477170601083,1.1864552713485745,3.9859435216948182,0.6994275975689297,4.515516133035476,0.9608799783797786,2.735201320115184,0.4212164027417883,2.676020139025327,0.392073727123223,['Lu']
KAIYO88-006-001,4.400007657620708,12.486774757164707,2.0113641157486715,10.41869571760825,3.3154257725388327,1.235512424893192,4.194626260459697,0.7392393803190073,4.770092778630405,1.0113941055980378,2.864554029911306,0.4388086791822204,2.7743647766035644,0.4048735433873302,[]
KAIYO88-006-003,5.437035956984874,14.487573324683776,2.249043625460635,11.464156652471107,3.6721367786677104,1.383237804262553,4.753739982329358,0.8472836471677545,5.511479878740351,1.1715700133870692,3.3069634089604087,0.502003947370653,3.129957211963941,0.4487775887983466,['Gd']
KAK078-017-012B,1.408848522361217,4.270126160215466,0.7563187129333827,4.397351895817681,1.7575618319146162,0.7228556128870376,2.6934795088464645,0.516116638669222,3.573566931533409,0.7965897473096215,2.3262548196986366,0.36105221125704,2.278981074283745,0.3282089258486681,[]
KAK1978-017-013,1.4599281144477445,4.45375001087873,0.7801529632599821,4.433098618536413,1.6822239125108476,0.6778093887771346,2.486334518515688,0.47249746246799396,3.277057048272682,0.7397560518571039,2.2097282354523315,0.35380422762033964,2.3187429525870167,0.34816430868864917,[]
KAK1978-017-014,1.5018591264624406,4.487314567486346,0.7907227275002698,4.6051231414582645,1.8633460204111694,0.7712055590341542,2.889081986129142,0.5554570200608431,3.8470395790416427,0.8546482971753775,2.4785872772009068,0.3808605918673973,2.3742306409818434,0.3371319061469697,[]
KAK1979-002-043,19.658795195028784,44.61875275834285,5.780278508890116,24.328214813176615,5.581673789281478,1.84315144705899,5.632062154276743,0.9092737002252353,5.4821439870855615,1.1130686303855675,3.0839665981608206,0.4704541519998491,3.0041537802929996,0.44739958390186624,[]
