short reference,DOI,authors,title,journal,year
"RIOUX, 2016",https://doi.org/10.1016/j.epsl.2016.06.051,"RIOUX, M; GARBER, J; BAUER, A; BOWRING, S; SEARLE, M; KELEMEN, P; HACKER, B R",SYNCHRONOUS FORMATION OF THE METAMORPHIC SOLE AND IGNEOUS CRUST OF THE SEMAIL OPHIOLITE: NEW CONSTRAINTS ON THE TECTONIC EVOLUTION DURING OPHIOLITE FORMATION FROM HIGH-PRECISION U–PB ZIRCON GEOCHRONOLOGY,EARTH AND PLANETARY SCIENCE LETTERS,2016
"LI, 2017",https://doi.org/10.1002/2016jb013486,"LI, H Y; XU, Y-G; RYAN, J G; WHATTAM, S",EVOLUTION OF THE MANTLE BENEATH THE EASTERN NORTH CHINA CRATON DURING THE CENOZOIC: LINKING GEOCHEMICAL AND GEOPHYSICAL OBSERVATIONS,JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH,2017
"LI, 2017",https://doi.org/10.1002/2016gc006767,"LI, W; SOUSTELLE, V; JIN, Z; HUAIMING, L; LI, C; CHEN, T; TAO, C",ORIGINS OF WATER CONTENT VARIATIONS IN THE SUB-OCEANIC UPPER MANTLE: INSIGHT FROM SOUTHWEST INDIAN RIDGE ABYSSAL PERIDOTITES,GEOCHEM GEOPHYS GEOSYST,2017
"VAN WAGONER, 1991",https://doi.org/10.1029/91JB00592,"VAN WAGONER, N A; LEYBOURNE, M I",EVIDENCE FOR MAGMA MIXING AND A HETEROGENEOUS MANTLE ON THE WEST VALLEY SEGMENT OF THE JUAN DE FUCA RIDGE,J GEOPHYS RES,1991
"WHITE, 2012",https://doi.org/10.1016/j.lithos.2012.01.023,"WHITE, J; ESPEJEL-GARCIA, V; ANTHONY, E; OMENDA, P","OPEN SYSTEM EVOLUTION OF PERALKALINE TRACHYTE AND PHONOLITE FROM THE SUSWA VOLCANO, KENYA RIFT",LITHOS,2012
"DANYUSHEVSKY, 2000",https://doi.org/10.1093/petrology/41.8.1329,"DANYUSHEVSKY, L V; EGGINS, S M; FALLOON, T J; CHRISTIE, D M","H2O ABUNDANCE IN DEPLETED TO MODERATELY ENRICHED MID-OCEAN RIDGE MAGMAS; PART I: INCOMPATIBLE BEHAVIOUR, IMPLICATIONS FOR MANTLE STORAGE, AND ORIGIN OF REGIONAL VARIATIONS",J PETROL,2000
"O'CONNOR, 2015",https://doi.org/10.1038/ngeo2416,"O'CONNOR, J; HOERNLE, K; MUELLER, R D; MORGAN, J P; BUTTERWORTH, N P; HAUFF, F; SANDWELL, D T; JOKAT, W; WIJBRANS, J R; STOFFERS, P",DEFORMATION-RELATED VOLCANISM IN THE PACIFIC OCEAN LINKED TO THE HAWAIIAN–EMPEROR BEND,NATURE GEOSCIENCE,2015
"HAYS, 2004",,"HAYS, M R","INTRA-TRANSFORM VOLCANISM ALONG THE SIQUEIROS FRACTURE ZONE 8DEG 20MIN N TO 8DEG 30MIN N, EAST PACIFIC RISE","THESIS OR DISSERTATION, MASTER'S, UNIVERSITY OF FLORIDA; MONOGRAPHIC",2004
"WOELKI, 2019",https://doi.org/10.1016/j.lithos.2019.105299,"WOELKI, D; MICHAEL, P J; REGELOUS, M; HAASE, K M",ENRICHMENT OF H2O AND FLUID-SOLUBLE TRACE ELEMENTS IN THE TROODOS OPHIOLITE: EVIDENCE FOR A NEAR-TRENCH ORIGIN,LITHOS,2019
"WOELKI, 2019",https://doi.org/10.1016/j.chemgeo.2019.05.041,"WOELKI, D; REGELOUS, M; HAASE, K M; BEIER, C",GEOCHEMICAL MAPPING OF A PALEO-SUBDUCTION ZONE BENEATH THE TROODOS OPHIOLITE,CHEMICAL GEOLOGY,2019
"MOGHADAM, 2015",https://doi.org/10.1016/j.gr.2013.09.007,"MOGHADAM, H; KHEDR, M; ARAI, S; WOOD, D A; GHORBANI, G; TAMURA, A; OTTLEY, C J","ARC-RELATED HARZBURGITE–DUNITE–CHROMITITE COMPLEXES IN THE MANTLE SECTION OF THE SABZEVAR OPHIOLITE, IRAN: A MODEL FOR FORMATION OF PODIFORM CHROMITITES",GONDWANA RESEARCH,2015
"STEPHENSON, 2021",https://doi.org/10.1029/2020gc009624,"STEPHENSON, S; WHITE, N; CARTER, A; SEWARD, D; BALL, P; KLOCKING, M",CENOZOIC DYNAMIC TOPOGRAPHY OF MADAGASCAR,"GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS",2021
"STOKES, 2014",https://doi.org/10.1080/08120099.2015.985715,"STOKES, N; FERGUSSON, C; OFFLER, R","BACKARC BASIN AND OCEAN ISLAND BASALTS IN THE NAROOMA ACCRETIONARY COMPLEX, AUSTRALIA: SETTING, GEOCHEMISTRY AND TECTONICS",AUST J EARTH SCI,2014
"JIA, 2017",https://doi.org/10.1007/s00710-017-0544-9,"JIA, LIHUI; MENG, F; FENG, H","THE WENQUAN ULTRAMAFIC ROCKS IN THE CENTRAL EAST KUNLUN FAULT ZONE, QINGHAI-TIBET PLATEAU—CRUSTAL RELICS OF THE PALEO-TETHYS OCEAN",MINERALOGY AND PETROLOGY,2017
"ZHANG, 2011",https://doi.org/10.1111/j.1525-1314.2011.00947.x,"ZHANG, Z; DONG, Y-H; LIOU, J; LIU, F; WANG, W; YUI, F","METASOMATISM OF GARNET PERIDOTITE FROM JIANGZHUANG, SOUTHERN SULU UHP BELT: CONSTRAINTS ON THE INTERACTIONS BETWEEN CRUST AND MANTLE ROCKS DURING SUBDUCTION OF CONTINENTAL LITHOSPHERE",J METAMORPHIC GEOL,2011
"ZHANG, 2011",https://doi.org/10.1016/j.lithos.2011.07.022,"ZHANG, Y-L; LIU, C-Z; GE, W-C; WU, F-Y; CHU, Z-Y",ANCIENT SUB-CONTINENTAL LITHOSPHERIC MANTLE (SCLM) BENEATH THE EASTERN PART OF THE CENTRAL ASIAN OROGENIC BELT (CAOB): IMPLICATIONS FOR CRUST-MANTLE DECOUPLING,LITHOS,2011
"MANGAN, 2009",https://doi.org/10.1016/j.epsl.2009.08.018,"MANGAN, M; MILLER, T P; WAYTHOMAS, C; TRUSDELL, F; CALVERT, A; LAYER, P","DIVERSE LAVAS FROM CLOSELY SPACED VOLCANOES DRAWING FROM A COMMON PARENT: EMMONS LAKE VOLCANIC CENTER, EASTERN ALEUTIAN ARC",EARTH PLANET SCI LETT,2009
