sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,anomalies
PETDB-2075-CLB05-46,3.2076967473108104,8.23425020781868,1.277924426640132,5.970466181866003,1.3232356152774236,0.41306336643475244,1.19695890252327,0.18556005948557916,1.0848740530877694,0.21325428510658712,0.5622496738103405,0.07941333321093565,0.45586820391145105,0.05956504855809394,[]
PETDB-2075-CLB05-80,2.9870609307782736,7.239968447678389,1.0699802938952947,5.015287538981971,1.2655547815289805,0.4237702294661919,1.2916892530687123,0.20309607524615914,1.1519653881119913,0.21293411782028857,0.525655393134213,0.07133908425841037,0.41446426042645346,0.05867508606541324,[]
PETDB-2077-FS6-18,0.5586802518764119,1.2385974111391223,0.1502666591627641,0.5975317023066972,0.12399243140210331,0.038425960164636876,0.10880555061804956,0.016258855423366685,0.09247935106688196,0.018505326073272446,0.05324826025970993,0.008865791686980451,0.06416737655445778,0.011055337110472853,['Eu']
PETDB-2077-FS6-29,0.5892006475793639,1.4521522052546596,0.16698444890963207,0.5871708493611948,0.09000770775675045,0.02358439013931649,0.05508805624733985,0.006676736804410425,0.0309605412219894,0.005340997558559187,0.014507350775197757,0.002564840367987368,0.02247284762235898,0.005327090439442716,['Eu']
PETDB-2077-FS6-55,0.7640833978634014,1.87055878116559,0.2759154753988293,1.1845932667453685,0.22785130280400023,0.06948071604702188,0.20219169701906917,0.03213243331311207,0.1949516059610451,0.04009579562863061,0.1128698043827631,0.01777241266166372,0.12182929706174153,0.02074797945070389,[]
PETDB-2077-FS6-56,0.24104145706670932,0.42661709731780495,0.04303234988134528,0.15867423883090997,0.03251731509245258,0.009895554843842021,0.02721522289227036,0.004001765989151793,0.023542810967960837,0.005241343720123911,0.017937918898791667,0.003680569067908607,0.03249054393105125,0.006451621494739172,[]
PETDB-2077-FS7-10,0.27883757100740525,0.4666419236648842,0.05066356298249792,0.18582353504845378,0.03577445443841226,0.011471662599343322,0.03536032528818038,0.005991232353260777,0.039400237024162295,0.008977400428218702,0.028668946908190687,0.0051986253165469,0.040970862469929245,0.007855668903590718,['Eu']
PETDB-2077-FS7-9,0.47920034248427024,1.0909533136213894,0.12775622802311665,0.47944451291872087,0.08800283162154496,0.026175385110480506,0.07325795606257628,0.011356050715618184,0.0713068133415874,0.016506266571479397,0.05577237214614346,0.01062162605796305,0.08225430566771978,0.013764986239363423,[]
PETDB-2080-FJ-FJ-SJ70,7.457676064753072,19.82574133121111,3.006019978417253,14.347856914374104,3.7987875962849778,1.3082919556793644,4.141091278509222,0.6880361851725485,4.229170632120244,0.8627809058743188,2.363701350487705,0.35114920677036243,2.1575062519819483,0.30690878786059295,[]
PETDB-2080-FJ-FJ-HO-IV,7.533394695233866,19.871548990038562,2.954671225806678,13.953451561629336,3.6867732487428517,1.2677796326448947,4.000799192838388,0.6635356414817876,4.096068303790865,0.8475007365608828,2.3787888539725777,0.3646328648047764,2.31577883619868,0.3391276307907212,[]
PETDB-2080-FJ-FJ-JB3,7.530137043096064,19.389208797350154,2.9087521377048593,13.738461279571794,3.5695971549991734,1.2245058183168942,3.8704512750492017,0.6425669734313042,3.9420530136824166,0.802633401088912,2.205378127174837,0.3327003846778835,2.1183339052186816,0.3204712231058562,[]
PETDB-2080-FJ-FJ-SJ77,7.965609281543379,20.16937464801786,3.0468152033485274,14.614628396757848,3.8197806251655226,1.2969983370652174,4.045693409133427,0.6650238099310257,4.076142693381256,0.8371875140353263,2.3276339867972258,0.3527366948546861,2.21515910745616,0.32180397304709857,[]
PETDB-2080-NJ-NJ-NIJ,3.425737530160153,9.098397119536799,1.415977647976435,7.214101609247129,2.2569850054391054,0.8351376690572544,2.8195702726567013,0.4962853728008255,3.2223569593720844,0.6930725468336184,2.0031689273309152,0.3137917595183169,2.0237898836827832,0.2993218438498745,[]
PETDB-2080-TK-TK-TKN-102,2.658045111723128,7.31983364228923,1.1149261158237074,5.606280709977981,1.7546493318998841,0.6416251144645703,2.1084447509228896,0.35652526079711916,2.2125527185299063,0.4587529207248943,1.296426026180241,0.20115316956025042,1.293251128465832,0.1902007301579159,[]
PETDB-2080-TM-TM-OTN5-1,1.1044859290535336,3.572089641837492,0.7323611547127981,4.740423203140623,2.0001370654391764,0.8186615524842216,3.0176794418828803,0.5679041528839279,3.8070323900948955,0.8078628663651564,2.2177586769851505,0.3236600972171653,1.95599990486941,0.27940310918362843,[]
PETDB-2093-53-1047,1.189640518643267,3.014502128994744,0.47318375085076386,2.538220748055377,0.9473152717187162,0.3855832790617529,1.4273507013357478,0.2712758303369445,1.8550523709537805,0.4084942006245863,1.1901332808087401,0.1884172517704494,1.2543966291154083,0.19839656745939532,[]
PETDB-2093-53-2526,6.705346099198204,15.752472060947033,2.402085495559796,11.712175202419585,3.3018758327079065,1.2153640286332135,4.242710302449247,0.7959294219478215,5.563098671334149,1.2650358182105979,3.7646500527972884,0.5964234147743688,3.8999498208646046,0.6002489166910576,[]
PETDB-2093-AN12D,14.404536361468564,31.117002733921417,4.564153086820597,21.54855922134913,5.550481949183015,1.9324494624192101,6.335944370816342,1.1127211627823106,7.290109710487626,1.5706180473136477,4.488984353639221,0.6934387844684801,4.489893559309961,0.6942488745401033,[]
PETDB-2093-AN3,3.897054058786045,8.879909557463892,1.3604363225884166,7.007413225363265,2.132123653630442,0.7663603849195215,2.513028701122158,0.4326548815209273,2.7809484460396017,0.6002486489944246,1.7607870970351722,0.2824660850636859,1.8796703779542001,0.2887723831277227,[]
PETDB-2093-GU7I,0.5914637439497661,1.6030845767000996,0.2702928107676232,1.5726893870543865,0.6468029711225118,0.26239996924778797,0.9366238844675776,0.16695628662654013,1.0545721412037754,0.21619937865941088,0.599053285392875,0.09268216876630267,0.6189523084886462,0.10019928814024155,[]
PETDB-2093-GU7II,1.2011740607759038,3.309213887058722,0.5851387387828939,3.3263440112949216,1.1974346598612613,0.47244721417494645,1.708245931683341,0.31980060912140557,2.156102131394727,0.4642126548445173,1.3056900129556135,0.197892894567426,1.2644238500136897,0.19496241463206834,[]
PETDB-2093-SA4I,0.7859991619758299,1.846171549575407,0.2626849923693994,1.286899537207821,0.40866397083789474,0.1525175397369296,0.5107086492522167,0.08703257539394323,0.5345556267422727,0.10813304717022607,0.2983332938662052,0.04618328590260899,0.30922189197886335,0.05020192254397197,['Eu']
